"","lambda_h","lambda_l","mu_f","mu_s","K_l","K_h","alpha","r_h","r_l","PB_l","PB_h","RJ","N_h","N_l","W_l","W_h","TC"
"108",25,35,30,20,15,10,0.7,1,8,0.335114973549702,0.0342595756670038,2.53649241262797,3.62302182084038,13.2905471003194,0.252476736009566,0.139955945225044,27.4442270386779
"109",25,35,30,20,15,10,0.7,1,9,0.336455386021524,0.0341900541108683,2.48061373445494,3.61566977079323,13.3168063016712,0.252465574196245,0.139681993027311,27.5047084570076
"110",25,35,30,20,15,10,0.7,1,10,0.338576461147533,0.0340804046572391,2.39248183879877,3.60407411161161,13.35219090648,0.252327238879935,0.139249832298928,27.6005638794049
"111",25,35,30,20,15,10,0.7,1,11,0.341948727341369,0.03390639979865,2.25262361303231,3.58567273368071,13.3986264500038,0.251913805351503,0.138563819217017,27.7530801398329
"112",25,35,30,20,15,10,0.7,1,12,0.347357219926867,0.033627622474646,2.02855342191664,3.5561914482778,13.4574233140756,0.250939718980551,0.137464207392302,27.9977666804082
"113",25,35,30,20,15,10,0.7,1,13,0.356160118674465,0.0331741517552027,1.66407158633664,3.50823597073118,13.5279197026263,0.24885183474058,0.135674128729803,28.3960477390801
"114",25,35,30,20,15,10,0.7,1,14,0.370842877229961,0.0324180371016384,1.05633652203454,3.4282752638168,13.6044216375161,0.244551964983146,0.13268549236479,29.0603126873894
"115",25,35,30,20,15,10,0.7,1,15,0.370843407203172,0.0311037941521673,2.89244478922551,3.2892913216308,13.6687347466673,0.245707845173051,0.127479275258252,29.8764225219627
"116",25,35,30,20,15,10,0.7,2,1,0.311623840728089,0.0400140427245108,4.09903231772635,4.12947964760272,13.1804592243429,0.25923182566552,0.158569698902142,27.0270833685323
"117",25,35,30,20,15,10,0.7,2,2,0.311669842687548,0.0400043173467067,4.094558296873,4.1285625969918,13.1823109856694,0.259250919843072,0.15853609074704,27.0273173850594
"118",25,35,30,20,15,10,0.7,2,3,0.31175570879334,0.0399897091928908,4.08783802480568,4.12718512696945,13.1855694946639,0.259282655171747,0.158485607758269,27.0288432738686
"119",25,35,30,20,15,10,0.7,2,4,0.311901502567766,0.0399674978520775,4.07762001538937,4.12509071746965,13.190733101586,0.259329246492313,0.158408846523182,27.0322295682088
"120",25,35,30,20,15,10,0.7,2,5,0.312138533838346,0.0399334716336446,4.06196674063794,4.12188222880941,13.1984843947114,0.259392252195939,0.158291246469921,27.0383734344946
"121",25,35,30,20,15,10,0.7,2,6,0.312515619827358,0.0398810933504373,4.03787086117168,4.11694323954015,13.2097380616877,0.259471102388067,0.158110201675424,27.0486821814341
"122",25,35,30,20,15,10,0.7,2,7,0.313108982814384,0.0398001820417609,4.00064877174944,4.10931374004448,13.2256887278202,0.25956019380665,0.15783049220496,27.0653602193185
"123",25,35,30,20,15,10,0.7,2,8,0.314038082325313,0.0396748046937173,3.94297071738664,4.09749133314839,13.2478459132118,0.259643365362443,0.157396966590861,27.0918680231801
"124",25,35,30,20,15,10,0.7,2,9,0.315491393819843,0.0394798438242557,3.85328175998813,4.07910757592624,13.2780300842973,0.2596835961663,0.156722601835453,27.1336692747204
"125",25,35,30,20,15,10,0.7,2,10,0.317769496967217,0.039175260660619,3.71316263524709,4.05038702831218,13.3182796264074,0.259603903115863,0.155668482428066,27.199479373198
"126",25,35,30,20,15,10,0.7,2,11,0.321359872934471,0.0386961368792869,3.49274859764466,4.00520824295032,13.3705725196093,0.259251629532759,0.154008886262042,27.3034322164718
"127",25,35,30,20,15,10,0.7,2,12,0.327073849942647,0.0379344424739652,3.14234198908647,3.93338457359772,13.4361713136961,0.258330029532474,0.151366952910504,27.4690465490197
